feature_set,classifier,run,number_of_features,train_accuracy,test_accuracy,fit_and_predict_seconds
Labeled simplets (all),KNN,6,111,0.828735632183908,0.8157828218998029,1.576667308807373
Labeled simplets (all),Decision tree,6,111,0.8333333333333334,0.8402001921035337,0.009193181991577148
Unlabeled simplets,Logistic regression,6,272,0.575287356321839,0.23221778474293514,0.09447669982910156
Unlabeled simplets,Linear SVM,6,272,0.5396551724137931,0.23487184672160152,0.08033156394958496
Unlabeled simplets,SVM,6,272,0.6045977011494252,0.24978514736363178,5.2620954513549805
Unlabeled simplets,KNN,6,272,0.7982758620689655,0.2652545371821445,1.5644850730895996
Unlabeled simplets,Decision tree,6,272,0.8183908045977012,0.22294120620797736,0.05583953857421875
Shuffled-label simplets,Logistic regression,6,37,0.2482758620689655,0.18927253425003793,0.019388198852539062
Shuffled-label simplets,Linear SVM,6,37,0.25517241379310346,0.18990445376876802,0.01495218276977539
Shuffled-label simplets,SVM,6,37,0.29942528735632185,0.18889338253879986,1.6549854278564453
Shuffled-label simplets,KNN,6,37,0.26436781609195403,0.24988625448662857,1.857041835784912
Shuffled-label simplets,Decision tree,6,37,0.3057471264367816,0.1831555533087306,0.008619546890258789
UniGCNII embeddings,Logistic regression,6,64,0.9229885057471264,0.9078661341691522,0.0642387866973877
UniGCNII embeddings,Linear SVM,6,64,0.9293103448275862,0.9105707497093171,0.0916602611541748
UniGCNII embeddings,SVM,6,64,0.9189655172413793,0.90571760780547,1.3168013095855713
UniGCNII embeddings,KNN,6,64,0.9971264367816092,0.8925736818158839,0.10501742362976074
UniGCNII embeddings,Decision tree,6,64,0.9971264367816092,0.8601688488954047,0.0725412368774414
Labeled simplets (12 dim),Logistic regression,7,88,0.8097701149425287,0.8158333754613013,0.022055864334106445
Labeled simplets (12 dim),Linear SVM,7,88,0.8097701149425287,0.8149486881350791,0.047443389892578125
Labeled simplets (12 dim),SVM,7,88,0.8097701149425287,0.8063545826803499,1.0874204635620117
Labeled simplets (12 dim),KNN,7,88,0.8091954022988506,0.8158333754613013,1.4968059062957764
Labeled simplets (12 dim),Decision tree,7,88,0.8097701149425287,0.8118396441029271,0.009502887725830078
Labeled simplets (all),Logistic regression,7,111,0.8298850574712644,0.8455083160608665,0.023052692413330078
Labeled simplets (all),Linear SVM,7,111,0.8298850574712644,0.840983772306759,0.06806397438049316
Labeled simplets (all),SVM,7,111,0.8298850574712644,0.8345129164349628,1.1907405853271484
